0, 212, 41, 2, 38
1, 26, 13, 212, 38
2, 8, 212, 41, 51
3, 24, 53, 42, 6
4, 61, 11, 14, 1
5, 62, 7, 26, 43
6, 33, 23, 64, 58
7, 62, 5, 57, 43
8, 2, 212, 41, 51
9, 38, 212, 55, 0
10, 39, 28, 30, 48
11, 44, 8, 1, 2
12, 16, 15, 29, 58
13, 26, 14, 1, 43
14, 5, 26, 7, 1
15, 52, 22, 25, 40
16, 12, 29, 15, 30
17, 34, 38, 55, 32
18, 36, 55, 13, 43
19, 37, 44, 2, 8
20, 48, 15, 30, 25
21, 64, 23, 6, 33
22, 40, 52, 25, 15
23, 6, 33, 50, 64
24, 3, 53, 33, 6
25, 52, 40, 22, 15
26, 13, 1, 14, 36
27, 37, 49, 2, 22
28, 30, 31, 10, 48
29, 24, 3, 12, 231
30, 31, 28, 48, 10
31, 30, 48, 20, 25
32, 212, 41, 38, 2
33, 6, 23, 58, 64
34, 63, 17, 56, 21
35, 37, 28, 30, 49
36, 18, 56, 55, 43
37, 19, 2, 8, 44
38, 41, 212, 55, 32
39, 10, 48, 20, 30
40, 22, 25, 52, 15
41, 38, 212, 32, 55
42, 200, 53, 6, 3
43, 56, 36, 57, 18
44, 11, 37, 8, 2
45, 47, 60, 59, 57
46, 59, 57, 60, 45
47, 45, 59, 60, 57
48, 20, 31, 30, 10
49, 40, 22, 2, 52
50, 63, 17, 6, 21
51, 8, 1, 2, 212
52, 25, 40, 22, 15
53, 3, 24, 42, 6
54, 7, 43, 13, 57
55, 36, 38, 9, 18
56, 36, 43, 18, 55
57, 60, 43, 54, 56
58, 33, 6, 23, 52
59, 47, 45, 46, 60
60, 57, 45, 43, 56
61, 4, 14, 7, 26
62, 5, 7, 26, 43
63, 50, 17, 6, 21
64, 21, 6, 42, 23
65, 29, 16, 39, 12
66, 105, 128, 126, 67
67, 213, 128, 66, 105
68, 91, 119, 69, 96
69, 217, 95, 110, 84
70, 82, 87, 80, 125
71, 99, 110, 217, 84
72, 74, 109, 111, 214
73, 98, 117, 124, 115
74, 109, 72, 107, 214
75, 97, 77, 127, 120
76, 106, 73, 112, 85
77, 227, 97, 127, 120
78, 96, 219, 129, 95
79, 118, 114, 121, 101
80, 87, 70, 82, 108
81, 82, 87, 125, 118
82, 87, 125, 70, 81
83, 90, 93, 128, 97
84, 115, 110, 217, 98
85, 124, 86, 106, 73
86, 122, 101, 121, 104
87, 80, 82, 70, 81
88, 116, 103, 102, 93
89, 75, 127, 120, 130
90, 93, 83, 116, 88
91, 68, 119, 96, 69
92, 112, 106, 73, 117
93, 90, 116, 88, 103
94, 130, 104, 103, 121
95, 217, 110, 69, 96
96, 78, 129, 95, 69
97, 75, 77, 127, 120
98, 117, 73, 124, 115
99, 71, 110, 84, 217
100, 113, 103, 88, 93
101, 122, 121, 86, 104
102, 130, 120, 103, 116
103, 88, 116, 102, 130
104, 94, 103, 130, 116
105, 126, 66, 213, 67
106, 76, 112, 85, 86
107, 128, 234, 109, 116
108, 113, 104, 103, 114
109, 74, 107, 72, 233
110, 217, 99, 71, 69
111, 221, 214, 226, 72
112, 106, 76, 85, 73
113, 108, 104, 103, 102
114, 118, 121, 79, 101
115, 84, 110, 127, 217
116, 88, 103, 93, 102
117, 98, 73, 84, 115
118, 114, 79, 121, 80
119, 91, 68, 69, 96
120, 102, 103, 130, 116
121, 101, 122, 86, 104
122, 101, 86, 121, 104
123, 77, 71, 97, 110
124, 85, 73, 106, 112
125, 82, 70, 81, 87
126, 105, 213, 66, 67
127, 99, 89, 110, 77
128, 107, 234, 109, 116
129, 95, 96, 78, 69
130, 102, 120, 103, 89
131, 97, 120, 77, 90
132, 141, 225, 154, 230
133, 151, 155, 138, 156
134, 148, 137, 152, 210
135, 168, 188, 165, 171
136, 161, 190, 139, 197
137, 182, 148, 152, 167
138, 158, 151, 140, 133
139, 216, 161, 190, 173
140, 194, 174, 193, 167
141, 132, 225, 154, 208
142, 199, 177, 176, 210
143, 171, 164, 192, 181
144, 191, 197, 193, 195
145, 192, 206, 171, 157
146, 175, 196, 173, 216
147, 183, 222, 146, 204
148, 182, 137, 152, 210
149, 224, 211, 225, 154
150, 181, 176, 177, 139
151, 133, 138, 140, 158
152, 193, 191, 174, 197
153, 160, 210, 199, 142
154, 141, 132, 208, 209
155, 170, 156, 144, 183
156, 163, 170, 183, 144
157, 187, 185, 164, 135
158, 172, 194, 137, 152
159, 202, 189, 179, 209
160, 210, 199, 153, 142
161, 136, 190, 139, 197
162, 180, 158, 137, 184
163, 156, 170, 183, 216
164, 143, 171, 168, 181
165, 188, 168, 135, 202
166, 181, 143, 171, 164
167, 193, 144, 174, 197
168, 188, 165, 135, 171
169, 230, 189, 132, 154
170, 155, 156, 183, 144
171, 143, 164, 192, 185
172, 137, 182, 152, 167
173, 202, 188, 175, 216
174, 193, 140, 167, 194
175, 202, 173, 216, 196
176, 177, 150, 139, 181
177, 176, 142, 139, 197
178, 201, 206, 232, 223
179, 159, 154, 209, 222
180, 137, 182, 152, 194
181, 168, 150, 188, 143
182, 148, 137, 152, 167
183, 146, 196, 163, 173
184, 210, 153, 134, 199
185, 192, 171, 157, 143
186, 206, 145, 192, 199
187, 157, 225, 230, 132
188, 165, 168, 135, 202
189, 169, 230, 135, 188
190, 136, 161, 197, 139
191, 144, 197, 193, 174
192, 185, 171, 143, 164
193, 167, 174, 144, 140
194, 140, 198, 193, 167
195, 144, 197, 191, 193
196, 146, 183, 163, 216
197, 191, 144, 190, 193
198, 194, 140, 193, 167
199, 142, 210, 160, 153
200, 42, 21, 6, 33
201, 178, 206, 232, 223
202, 175, 173, 216, 188
203, 220, 215, 45, 46
204, 222, 154, 179, 208
205, 228, 207, 235, 65
206, 178, 201, 192, 157
207, 205, 228, 235, 226
208, 149, 225, 132, 154
209, 230, 189, 132, 154
210, 160, 199, 153, 142
211, 224, 149, 233, 223
212, 41, 0, 38, 55
213, 126, 67, 105, 66
214, 221, 111, 226, 72
215, 221, 214, 226, 72
216, 139, 190, 161, 173
217, 110, 95, 69, 99
218, 153, 61, 184, 4
219, 78, 96, 129, 119
220, 46, 59, 232, 47
221, 111, 214, 226, 72
222, 204, 179, 154, 141
223, 232, 178, 201, 206
224, 149, 211, 225, 154
225, 141, 132, 208, 187
226, 221, 214, 111, 72
227, 77, 97, 90, 120
228, 235, 205, 207, 226
229, 219, 78, 207, 226
230, 169, 189, 132, 187
231, 29, 3, 24, 42
232, 223, 201, 178, 220
233, 211, 72, 109, 223
234, 93, 128, 107, 116
235, 228, 205, 207, 226
